"module"	"local_available"
"FigureYa248MutLandscape"	"False"
"FigureYa249Regulon"	"False"
"FigureYa250ImmGenePair"	"False"
"FigureYa251NPHSurv"	"False"
"FigureYa255TIME"	"True"
"FigureYa257armCNV"	"False"
"FigureYa258SNF"	"True"
"FigureYa259circLink"	"True"
"FigureYa260CNV"	"False"
"FigureYa261circGene"	"False"
"FigureYa262GDC"	"False"
"FigureYa273BAPC"	"False"
"FigureYa278heatmapPoints"	"False"
"FigureYa281wheel"	"False"
"FigureYa282CMAP_XSum"	"True"
"FigureYa283vennyPvalue"	"False"
"FigureYa284pairwiseLogrank"	"False"
"FigureYa287L2logV2"	"False"
"FigureYa288MutualExclusivity"	"False"
"FigureYa296VIPER"	"True"
"FigureYa297Rbar"	"False"
"FigureYa298ecdfPvalue"	"False"
"FigureYa303panCircos"	"False"
"FigureYa306slingshot"	"False"
"FigureYa307CNVHeatmap"	"False"
"FigureYa308IHS"	"False"
"FigureYa311PAM50Heatmap"	"False"
"FigureYa312CellPreference"	"False"
"FigureYa313CircularPlot"	"False"
"FigureYa316RF_XGBoost_Boruta"	"False"
"FigureYa321volcanoSE"	"False"
